"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"44","","Change in WAZ from Year 1 to Year 2","472","6.62","7.24","-0.23","-0.18","0.05 (-0.09, 0.18)","0.52","0.98","-0.27","-0.24","0.03 (-0.11, 0.18)","0.64","0.96"
"45","","Change in WLZ from Year 1 to Year 2","470","6.62","7.24","-0.26","-0.15","0.11 (-0.02, 0.24)","0.1","0.58","-0.13","-0.08","0.05 (-0.1, 0.21)","0.5","0.96"
"46","","Change in HCZ from Year 1 to Year 2","469","6.63","7.24","-0.04","0.09","0.13 (0, 0.26)","0.04","0.42","-0.24","-0.11","0.12 (0.02, 0.23)","0.02","0.37"
"47","","","","","","","","","","","","","","",""
"48","Ln CRP","Change in LAZ Year 1 to Year 2","480","5.85","8.04","-0.02","-0.03","-0.01 (-0.07, 0.04)","0.67","0.98","-0.21","-0.21","0 (-0.06, 0.06)","0.99","1"
"49","","Change in WAZ from Year 1 to Year 2","481","5.84","8.04","-0.27","-0.23","0.03 (-0.03, 0.1)","0.28","0.91","-0.37","-0.33","0.04 (-0.03, 0.1)","0.27","0.88"
"50","","Change in WLZ from Year 1 to Year 2","480","5.85","8.04","-0.3","-0.23","0.07 (-0.01, 0.15)","0.08","0.53","-0.18","-0.13","0.05 (-0.03, 0.13)","0.23","0.88"
"51","","Change in HCZ from Year 1 to Year 2","479","5.85","8.05","-0.03","-0.04","0 (-0.12, 0.11)","0.94","0.98","-0.28","-0.25","0.03 (-0.07, 0.13)","0.58","0.96"
"52","","","","","","","","","","","","","","",""
"53","Ln IFN-y","Change in LAZ Year 1 to Year 2","524","1.73","2.35","-0.09","-0.07","0.02 (-0.11, 0.14)","0.79","0.98","-0.25","-0.25","0 (-0.12, 0.12)","0.98","1"
"54","","Change in WAZ from Year 1 to Year 2","526","1.73","2.35","-0.27","-0.25","0.01 (-0.03, 0.06)","0.61","0.98","-0.33","-0.3","0.03 (-0.02, 0.07)","0.3","0.89"
"55","","Change in WLZ from Year 1 to Year 2","524","1.73","2.35","-0.27","-0.25","0.02 (-0.05, 0.09)","0.62","0.98","-0.14","-0.09","0.05 (-0.02, 0.12)","0.15","0.72"
"56","","Change in HCZ from Year 1 to Year 2","522","1.73","2.35","-0.03","-0.02","0 (-0.06, 0.06)","0.96","0.98","-0.2","-0.16","0.04 (-0.01, 0.09)","0.14","0.72"
"57","","","","","","","","","","","","","","",""
"58","Sum score of 13 cytokines","Change in LAZ Year 1 to Year 2","524","-0.63","0.7","-0.06","-0.05","0.01 (-0.11, 0.13)","0.9","0.98","-0.22","-0.22","0 (-0.12, 0.12)","0.95","1"
"59","","Change in WAZ from Year 1 to Year 2","526","-0.63","0.69","-0.31","-0.23","0.08 (-0.04, 0.2)","0.19","0.8","-0.36","-0.32","0.04 (-0.01, 0.1)","0.15","0.72"
"60","","Change in WLZ from Year 1 to Year 2","524","-0.63","0.7","-0.29","-0.23","0.05 (-0.03, 0.13)","0.23","0.8","-0.12","-0.06","0.06 (-0.01, 0.14)","0.09","0.71"
"61","","Change in HCZ from Year 1 to Year 2","522","-0.63","0.69","-0.03","-0.03","0.01 (-0.05, 0.07)","0.81","0.98","-0.18","-0.17","0.01 (-0.07, 0.09)","0.86","0.99"
