"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"48","Ln CRP","LAZ Year 1","542","5.83","8.03","-1.23","-1.44","-0.2 (-0.32, -0.09)","0","0.01","-1.11","-1.38","-0.27 (-0.51, -0.04)","0.02","0.37"
"49","","WAZ Year 1","543","5.83","8.03","-1.06","-1.31","-0.26 (-0.39, -0.13)","0","0.01","-0.82","-1.12","-0.3 (-0.54, -0.05)","0.02","0.37"
"50","","WLZ Year 1","542","5.83","8.03","-0.68","-0.88","-0.21 (-0.34, -0.08)","0","0.01","-0.56","-0.73","-0.17 (-0.4, 0.07)","0.16","0.96"
"51","","HCZ Year 1","542","5.83","8.03","-1.7","-1.88","-0.18 (-0.29, -0.07)","0","0.01","-1.6","-1.7","-0.11 (-0.2, -0.01)","0.04","0.44"
"52","","","","","","","","","","","","","","",""
"53","Ln IFN-y","LAZ Year 1","594","1.74","2.35","-1.34","-1.24","0.1 (-0.05, 0.24)","0.18","0.68","-1.3","-1.27","0.03 (-0.05, 0.11)","0.52","0.96"
"54","","WAZ Year 1","596","1.73","2.35","-1.15","-1.14","0.01 (-0.1, 0.12)","0.86","0.95","-1.11","-1.09","0.03 (-0.06, 0.11)","0.54","0.96"
"55","","WLZ Year 1","594","1.74","2.35","-0.73","-0.76","-0.03 (-0.12, 0.06)","0.52","0.94","-0.69","-0.68","0.02 (-0.07, 0.1)","0.71","0.96"
"56","","HCZ Year 1","594","1.73","2.35","-1.86","-1.72","0.14 (-0.06, 0.35)","0.16","0.65","-1.74","-1.71","0.03 (-0.12, 0.18)","0.7","0.96"
"57","","","","","","","","","","","","","","",""
"58","Sum score of 13 cytokines","LAZ Year 1","594","-0.63","0.67","-1.32","-1.24","0.09 (-0.1, 0.27)","0.37","0.94","-1.3","-1.28","0.02 (-0.07, 0.11)","0.66","0.96"
"59","","WAZ Year 1","596","-0.64","0.68","-1.13","-1.15","-0.02 (-0.13, 0.09)","0.7","0.94","-1.11","-1.08","0.03 (-0.07, 0.12)","0.56","0.96"
"60","","WLZ Year 1","594","-0.63","0.67","-0.73","-0.77","-0.04 (-0.14, 0.06)","0.46","0.94","-0.7","-0.67","0.03 (-0.06, 0.13)","0.5","0.96"
"61","","HCZ Year 1","594","-0.63","0.67","-1.74","-1.77","-0.03 (-0.13, 0.07)","0.55","0.94","-1.71","-1.74","-0.03 (-0.12, 0.06)","0.48","0.96"
