"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"48","Ln CRP","LAZ Year 2","480","5.85","8.04","-1.26","-1.48","-0.22 (-0.34, -0.1)","0","0.01","-1.51","-1.53","-0.02 (-0.09, 0.04)","0.49","0.81"
"49","","WAZ Year 2","481","5.84","8.04","-1.4","-1.63","-0.22 (-0.34, -0.1)","0","0.01","-1.62","-1.64","-0.02 (-0.08, 0.04)","0.5","0.81"
"50","","WLZ Year 2","480","5.85","8.04","-0.96","-1.09","-0.13 (-0.24, -0.02)","0.02","0.18","-1","-0.99","0.01 (-0.06, 0.09)","0.75","0.92"
"51","","HCZ Year 2","480","5.85","8.04","-1.72","-1.88","-0.15 (-0.3, 0)","0.05","0.3","-1.93","-1.95","-0.02 (-0.11, 0.08)","0.76","0.92"
"52","","","","","","","","","","","","","","",""
"53","Ln IFN-y","LAZ Year 2","524","1.73","2.35","-1.38","-1.31","0.07 (-0.07, 0.21)","0.32","0.9","-1.57","-1.52","0.04 (-0.08, 0.17)","0.5","0.81"
"54","","WAZ Year 2","526","1.73","2.35","-1.49","-1.47","0.02 (-0.09, 0.12)","0.77","0.97","-1.63","-1.61","0.02 (-0.03, 0.06)","0.48","0.81"
"55","","WLZ Year 2","524","1.73","2.35","-1","-1","0 (-0.08, 0.09)","0.95","1","-1.16","-1.12","0.04 (-0.02, 0.09)","0.18","0.57"
"56","","HCZ Year 2","524","1.73","2.35","-1.87","-1.75","0.12 (-0.07, 0.32)","0.22","0.7","-1.95","-1.91","0.03 (-0.01, 0.08)","0.17","0.57"
"57","","","","","","","","","","","","","","",""
"58","Sum score of 13 cytokines","LAZ Year 2","524","-0.63","0.7","-1.35","-1.3","0.05 (-0.12, 0.22)","0.58","0.97","-1.49","-1.51","-0.02 (-0.07, 0.03)","0.44","0.81"
"59","","WAZ Year 2","526","-0.63","0.69","-1.47","-1.46","0 (-0.1, 0.11)","0.94","1","-1.62","-1.59","0.03 (-0.02, 0.08)","0.27","0.65"
"60","","WLZ Year 2","524","-0.63","0.7","-1.02","-0.99","0.03 (-0.07, 0.13)","0.57","0.97","-1.17","-1.11","0.06 (-0.01, 0.13)","0.08","0.55"
"61","","HCZ Year 2","524","-0.63","0.7","-1.78","-1.8","-0.02 (-0.13, 0.08)","0.69","0.97","-1.92","-1.89","0.03 (-0.02, 0.09)","0.26","0.65"
